library,deviceset,device,value
microbuilder,GND,,
microbuilder,CAP_CERAMIC,0805-NOOUTLINE,10uF
microbuilder,VREG_SOT23-5,,AP2112K-3.3
microbuilder,CAP_CERAMIC,0805-NOOUTLINE,10uF
microbuilder,GND,,
microbuilder,GND,,
microbuilder,CAP_CERAMIC,0603_NO,0.1uF
microbuilder,GND,,
microbuilder,3.3V,,
microbuilder,3.3V,,
microbuilder,3.3V,,
microbuilder,3.3V,,
microbuilder,RESISTOR_4PACK,,10K
microbuilder,MOSFET-N_DUAL,,BSS138
microbuilder,3.3V,,
microbuilder,3.3V,,
microbuilder,3.3V,,
microbuilder,MOUNTINGHOLE,2.5,
microbuilder,MOUNTINGHOLE,2.5,
microbuilder,STEMMA_I2C,_QT,
microbuilder,STEMMA_I2C,_QT,
microbuilder,FRAME_A4_ADAFRUIT,,
microbuilder,FIDUCIAL,_1MM,
microbuilder,FIDUCIAL,_1MM,
microbuilder,MOUNTINGHOLE,2.5,
microbuilder,MOUNTINGHOLE,2.5,
microbuilder,LED,0603_NOOUTLINE,GREEN
microbuilder,RESISTOR,_0603_NOOUT,10K
supply1,GND,,
supply1,VCC,,
supply1,VCC,,
supply1,VCC,,
supply1,VCC,,
microbuilder,3.3V,,
adafruit_sensor,MS8607,,
microbuilder,3.3V,,
supply1,GND,,
microbuilder,HEADER-1X5,ROUND,
